,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Mayor Pablo Lagerenza,-19.9309,-60.7718,81.68,59,84,3.78,PY,1605236400
70,Trelew,-43.249,-65.3051,70.84,36,53,15.77,AR,1605236400
71,Tura,25.5198,90.2201,76.32,73,0,3.13,IN,1605236400
72,East London,-33.0153,27.9116,65.93,81,23,20.42,ZA,1605236400
73,Bethel,41.3712,-73.414,47.14,89,100,3.94,US,1605236400
74,Ilulissat,69.2167,-51.1,19.31,81,99,10.04,GL,1605236400
75,Sambava,-14.2667,50.1667,73.24,89,24,3.91,MG,1605236400
76,Adrar,20.5022,-10.0711,76.21,19,5,6.11,MR,1605236400
77,Port Elizabeth,-33.918,25.5701,62.92,89,0,9.51,ZA,1605236400
78,Salalah,17.0151,54.0924,75.29,71,11,2.86,OM,1605236400
79,Batagay-Alyta,67.8006,130.4114,-8.0,88,67,2.04,RU,1605236400
80,Conde,-7.2597,-34.9075,76.98,83,10,9.35,BR,1605236400
81,Baicheng,45.6167,122.8167,43.92,59,0,7.83,CN,1605236400
82,Saskylakh,71.9167,114.0833,-11.52,89,66,1.36,RU,1605236400
83,Arraial do Cabo,-22.9661,-42.0278,72.75,94,100,12.46,BR,1605236400
84,Pacific Grove,36.6177,-121.9166,53.06,81,0,4.94,US,1605236400
85,Ambanja,-13.6833,48.45,75.54,86,28,1.68,MG,1605236400
86,Chui,-33.6971,-53.4616,65.05,86,77,9.17,UY,1605236400
87,Lahat,-3.8,103.5333,89.29,68,66,2.57,ID,1605236400
88,Severnyy,50.677,36.5532,29.28,93,36,1.74,RU,1605236400
89,Puerto Ayora,-0.7393,-90.3518,68.86,87,86,7.67,EC,1605236400
90,Krasnosel'kup,65.7,82.4667,-7.15,90,97,8.77,RU,1605236400
91,Atar,20.5169,-13.0499,79.34,17,32,4.36,MR,1605236400
92,Norman Wells,65.282,-126.8329,6.58,88,95,8.86,CA,1605236400
93,Codrington,-38.2667,141.9667,58.89,83,100,11.92,AU,1605236400
94,Vilhena,-12.7406,-60.1458,71.01,87,88,2.75,BR,1605236400
95,Constitución,-35.3333,-72.4167,56.23,79,100,9.13,CL,1605236400
96,Téra,14.0078,0.7531,75.36,20,0,9.01,NE,1605236400
97,Ust-Maya,60.4167,134.5333,16.72,96,85,3.06,RU,1605236400
98,Itarema,-2.9248,-39.9167,79.65,77,14,15.59,BR,1605236400
99,Cherskiy,68.75,161.3,1.98,93,96,5.39,RU,1605236400
100,Oistins,13.0667,-59.5333,79.99,85,38,13.87,BB,1605236400
101,Hīt,33.6416,42.8251,63.3,41,0,9.95,IQ,1605236400
102,Tianpeng,30.9866,103.9393,65.1,31,100,2.82,CN,1605236400
103,Nanortalik,60.1432,-45.2371,30.18,87,100,9.08,GL,1605236400
104,Knysna,-34.0363,23.0471,69.89,66,0,3.96,ZA,1605236400
105,Tuktoyaktuk,69.4541,-133.0374,-2.18,88,69,6.62,CA,1605236400
106,Yuci,37.6803,112.7319,55.24,35,1,6.04,CN,1605236400
107,Yumen,40.2833,97.2,41.43,66,10,10.29,CN,1605236400
108,Inkster,42.2942,-83.3099,43.61,64,41,5.35,US,1605236400
109,Kaeo,-35.1,173.7833,66.88,59,21,6.78,NZ,1605236400
110,Souillac,-20.5167,57.5167,74.82,83,10,9.4,MU,1605236400
111,Shimanovsk,52.0,127.7,27.82,91,0,8.25,RU,1605236400
112,Labuhan,-6.8844,112.2051,89.4,66,87,4.85,ID,1605236400
113,Saint-Philippe,-21.3585,55.7679,75.65,66,0,7.74,RE,1605236400
114,Upernavik,72.7868,-56.1549,14.22,92,100,26.37,GL,1605236400
115,Dingle,10.9995,122.6711,86.11,76,85,4.05,PH,1605236400
116,Umm Kaddadah,13.6017,26.6876,70.56,23,0,18.37,SD,1605236400
117,Carnarvon,-24.8667,113.6333,72.25,59,20,10.25,AU,1605236400
118,Beya,53.0533,90.9139,30.25,85,89,19.64,RU,1605236400
119,Anaconda,46.1285,-112.9423,18.66,70,37,7.07,US,1605236400
120,Cocobeach,1.0002,9.5823,78.67,86,69,4.14,GA,1605236400
121,Northam,51.0333,-4.2167,53.62,88,87,24.7,GB,1605236400
122,Kralendijk,12.15,-68.2667,83.19,81,75,20.62,BQ,1605236400
123,Lapa,-25.7697,-49.7158,63.45,96,82,3.36,BR,1605236400
124,Sechura,-5.5569,-80.8222,65.73,79,41,11.95,PE,1605236400
125,Orange,33.7,-117.7675,60.51,54,55,3.42,US,1605236400
126,Hasaki,35.7333,140.8333,63.55,65,10,7.85,JP,1605236400
127,Zaozyornoye,45.1582,33.2787,44.38,73,42,8.88,UA,1605236400
128,Iqaluit,63.7506,-68.5145,12.99,79,53,1.21,CA,1605236400
129,Havre-St-Pierre,50.2334,-63.5986,35.69,85,86,11.32,CA,1605236400
130,Port Hardy,50.6996,-127.4199,41.36,93,95,17.76,CA,1605236400
131,Husavik,66.0449,-17.3389,39.2,91,95,8.37,IS,1605236400
132,Zhuhai,22.2769,113.5678,73.63,50,57,14.27,CN,1605236400
133,Klaksvík,62.2266,-6.589,49.69,89,100,27.18,FO,1605236400
134,Lompoc,34.6391,-120.4579,53.96,86,1,6.55,US,1605236400
135,Penzance,50.1186,-5.5371,52.93,87,93,21.68,GB,1605236400
136,Ha Giang,22.8333,104.9833,79.56,54,2,1.9,VN,1605236400
137,Hambantota,6.1241,81.1185,81.57,89,34,5.95,LK,1605236400
138,Beringovskiy,63.05,179.3167,22.37,96,100,18.1,RU,1605236400
139,Pevek,69.7008,170.3133,7.23,94,51,4.5,RU,1605236400
140,São Filipe,14.8961,-24.4956,81.14,62,0,2.84,CV,1605236400
141,Lagoa,39.05,-27.9833,63.86,85,27,8.95,PT,1605236400
142,Thompson,55.7435,-97.8558,-9.17,87,10,5.1,CA,1605236400
143,Colonial Heights,37.268,-77.4073,53.76,88,95,8.12,US,1605236400
144,Phan Thiet,10.9333,108.1,82.62,78,96,1.28,VN,1605236400
145,College,64.8569,-147.8028,10.02,89,34,1.39,US,1605236400
146,Bredasdorp,-34.5322,20.0403,67.21,62,2,3.96,ZA,1605236400
147,Impfondo,1.6381,18.0667,71.17,86,58,1.68,CG,1605236400
148,Chokurdakh,70.6333,147.9167,-13.61,90,65,3.85,RU,1605236400
149,San Patricio,28.017,-97.5169,73.76,76,10,6.53,US,1605236400
150,San Cristobal,7.7669,-72.225,67.96,91,92,2.08,VE,1605236400
151,Dikson,73.5069,80.5464,3.83,95,94,6.13,RU,1605236400
152,St. George's,12.0564,-61.7485,80.53,83,30,13.65,GD,1605236400
153,Salinas,36.6777,-121.6555,52.36,68,1,1.34,US,1605236400
154,Shahreza,32.0339,51.8794,39.94,83,27,1.63,IR,1605236400
155,Alofi,-19.0595,-169.9187,81.03,75,41,13.62,NU,1605236400
156,Acapulco de Juárez,16.8634,-99.8901,81.07,76,32,4.68,MX,1605236400
157,Acaraú,-2.8856,-40.12,79.61,77,17,15.41,BR,1605236400
158,Port Keats,-14.25,129.55,91.18,62,18,13.67,AU,1605236400
159,Hay River,60.8156,-115.7999,20.48,84,64,7.58,CA,1605236400
160,George Town,5.4112,100.3354,83.66,81,57,2.55,MY,1605236400
161,Maragogi,-9.0122,-35.2225,75.83,84,3,7.74,BR,1605236400
162,Torbay,47.6666,-52.7314,46.02,83,42,10.25,CA,1605236400
163,Gurupá,-1.405,-51.64,77.95,84,56,5.44,BR,1605236400
164,Avarua,-21.2078,-159.775,78.26,75,46,17.38,CK,1605236400
165,Colquiri,-17.4167,-67.1333,43.27,75,68,2.89,BO,1605236400
166,Saint George,37.1041,-113.5841,52.86,35,35,2.28,US,1605236400
167,Bambous Virieux,-20.3428,57.7575,75.06,84,14,9.6,MU,1605236400
168,Buchanan,5.8808,-10.0467,76.98,88,59,4.81,LR,1605236400
169,Broome,42.2506,-75.833,34.57,82,8,3.65,US,1605236400
170,Margate,51.3813,1.3862,52.81,79,95,20.29,GB,1605236400
171,Pemangkat,1.1667,108.9667,84.07,81,15,8.08,ID,1605236400
172,Panguna,-6.3164,155.4848,78.51,84,62,2.15,PG,1605236400
173,Eureka,40.8021,-124.1637,47.8,59,51,6.11,US,1605236400
174,Media Luna,20.1419,-77.435,79.05,87,34,13.56,CU,1605236400
175,Jamestown,42.097,-79.2353,36.03,75,1,4.14,US,1605236400
176,Nelson Bay,-32.7167,152.15,71.82,74,49,10.51,AU,1605236400
177,Broken Hill,-31.95,141.4333,73.42,39,24,14.16,AU,1605236400
178,Ribeira Grande,38.5167,-28.7,63.59,81,11,4.88,PT,1605236400
179,Stokmarknes,68.5646,14.9108,45.57,78,100,11.39,NO,1605236400
180,Kushima,31.4583,131.2333,71.85,58,10,4.25,JP,1605236400
181,Qaanaaq,77.484,-69.3632,13.19,80,100,8.57,GL,1605236400
182,Benghazi,32.1167,20.0667,67.08,71,0,10.18,LY,1605236400
183,Esso,55.9333,158.7,17.24,92,85,3.29,RU,1605236400
184,Cabra,37.4725,-4.4421,52.77,76,70,2.59,ES,1605236400
185,Sioux Lookout,50.1001,-91.917,22.73,88,94,6.24,CA,1605236400
186,Mar del Plata,-38.0023,-57.5575,62.4,83,1,13.29,AR,1605236400
187,Rocky Mount,35.9382,-77.7905,63.36,93,95,5.79,US,1605236400
188,Vila Velha,-20.3297,-40.2925,76.35,76,69,10.11,BR,1605236400
189,Puerto Princesa City,9.7392,118.7353,85.33,77,68,10.25,PH,1605236400
190,Valparaíso,-33.0393,-71.6273,55.98,92,95,3.4,CL,1605236400
191,Castro,-24.7911,-50.0119,61.72,93,27,2.51,BR,1605236400
192,Alto Araguaia,-17.3147,-53.2153,70.54,84,98,2.59,BR,1605236400
193,Yenagoa,4.9247,6.2642,76.37,94,86,3.74,NG,1605236400
194,Vanimo,-2.6741,141.3028,86.25,62,64,5.23,PG,1605236400
195,Port Blair,11.6667,92.75,83.62,77,27,12.5,IN,1605236400
196,Burgeo,47.6167,-57.6152,43.29,72,98,11.05,CA,1605236400
197,Qom,34.6401,50.8764,50.27,80,99,7.87,IR,1605236400
198,Kaabong,3.4836,34.1492,65.35,80,8,11.07,UG,1605236400
199,Bara,10.3744,10.7288,75.33,31,40,7.36,NG,1605236400
200,Saint-François,46.4154,3.9054,47.28,92,14,3.51,FR,1605236400
201,Mayo,38.8876,-76.5119,51.78,87,95,6.44,US,1605236400
202,Rio Grande,-32.035,-52.0986,66.4,94,30,6.22,BR,1605236400
203,Jalu,29.0331,21.5482,63.19,70,14,6.82,LY,1605236400
204,Tullamore,53.2739,-7.4889,43.29,89,84,9.75,IE,1605236400
205,Burē,10.7,37.0667,53.17,63,11,4.21,ET,1605236400
206,Kaitangata,-46.2817,169.8464,69.19,46,24,2.95,NZ,1605236400
207,Davidson,36.1501,-86.7833,51.64,50,1,2.04,US,1605236400
208,Belaya Gora,68.5333,146.4167,-18.06,89,38,1.39,RU,1605236400
209,Sitka,57.0531,-135.33,40.44,86,95,6.93,US,1605236400
210,Kutum,14.2,24.6667,61.88,31,3,11.27,SD,1605236400
211,Upata,8.0086,-62.3989,75.09,93,78,4.05,VE,1605236400
212,Sobolevo,54.4299,31.8996,29.46,96,75,5.1,RU,1605236400
213,Kumul,42.8,93.45,49.37,53,39,5.03,CN,1605236400
214,Melilla,35.2937,-2.9383,63.63,87,67,4.38,ES,1605236400
215,Sokoto,13.0609,5.239,73.06,24,0,9.69,NG,1605236400
216,Waiuku,-37.25,174.75,67.24,61,7,7.63,NZ,1605236400
217,Polewali,-3.4324,119.3435,88.3,63,22,4.27,ID,1605236400
218,Tasiilaq,65.6145,-37.6368,20.16,68,50,4.29,GL,1605236400
219,Baruun-Urt,46.6806,113.2792,33.6,79,75,16.42,MN,1605236400
220,San Fernando del Valle de Catamarca,-28.4696,-65.7852,76.68,64,14,17.45,AR,1605236400
221,Hiriyūr,13.9456,76.6192,73.98,84,97,10.27,IN,1605236400
222,Isangel,-19.55,169.2667,80.55,76,95,5.28,VU,1605236400
223,Barrow,71.2906,-156.7887,10.15,86,95,9.55,US,1605236400
224,Saint-Augustin,51.226,-58.6502,32.76,89,80,6.08,CA,1605236400
225,Mareeba,-17.0,145.4333,95.5,41,71,2.33,AU,1605236400
226,Harlingen,26.1906,-97.6961,76.93,76,38,8.61,US,1605236400
227,Kahului,20.8947,-156.47,77.88,60,37,19.93,US,1605236400
228,Oranjemund,-28.55,16.4333,64.38,61,0,3.67,NA,1605236400
229,Esperance,-33.8667,121.9,68.88,58,7,12.3,AU,1605236400
230,Bengkulu,-3.8004,102.2655,87.12,72,49,1.43,ID,1605236400
231,Port Lincoln,-34.7333,135.8667,59.07,62,81,11.83,AU,1605236400
232,Olecko,54.0337,22.507,39.88,79,100,6.76,PL,1605236400
233,Tiznit Province,29.5833,-9.5,67.6,46,100,4.29,MA,1605236400
234,Qasigiannguit,68.8193,-51.1922,17.69,81,94,6.13,GL,1605236400
235,Turbat,26.0023,63.044,72.59,39,0,4.27,PK,1605236400
236,Saldanha,-33.0117,17.9442,67.24,54,0,6.08,ZA,1605236400
237,Mangan,27.5167,88.5333,76.01,22,0,2.98,IN,1605236400
238,Swan Hill,-35.3378,143.5544,66.88,50,56,7.87,AU,1605236400
239,Mariental,-24.6333,17.9667,74.82,39,11,11.48,NA,1605236400
240,San Quintín,30.4833,-115.95,62.53,71,34,7.7,MX,1605236400
241,Lavrentiya,65.5833,-171.0,27.61,93,100,22.48,RU,1605236400
242,Padang,-0.9492,100.3543,86.7,68,95,2.39,ID,1605236400
243,Alta Floresta,-9.8756,-56.0861,72.82,89,89,2.8,BR,1605236400
244,Ulaanbaatar,47.9077,106.8832,32.29,76,0,6.11,MN,1605236400
245,Gushi,34.6425,109.5843,65.55,46,48,9.15,CN,1605236400
246,Cobija,-11.0267,-68.7692,76.3,84,79,2.42,BO,1605236400
247,Tokoroa,-38.2333,175.8667,71.2,62,1,6.89,NZ,1605236400
248,Lingao,19.9103,109.6859,75.24,57,3,10.83,CN,1605236400
249,Churapcha,62.0025,132.4325,12.74,96,89,6.44,RU,1605236400
250,Guatire,10.4762,-66.5427,72.79,84,38,1.77,VE,1605236400
251,Tazovsky,67.4667,78.7,-8.19,91,50,8.63,RU,1605236400
252,Esim,4.8699,-2.2405,78.39,86,1,3.78,GH,1605236400
253,Srednekolymsk,67.45,153.6833,-12.21,89,97,3.56,RU,1605236400
254,Charters Towers,-20.1,146.2667,92.98,39,23,7.47,AU,1605236400
255,Kyrenia,35.3417,33.3167,66.58,68,10,1.43,CY,1605236400
256,Kibala,9.1104,18.3463,74.26,57,0,3.44,TD,1605236400
257,Mana,5.6592,-53.7767,79.32,87,50,10.6,GF,1605236400
258,Santa Isabel Rio Negro,-0.4139,-65.0192,75.96,92,87,1.28,BR,1605236400
259,Belmonte,-15.8631,-38.8828,75.7,79,39,9.48,BR,1605236400
260,Pec,42.6591,20.2883,45.39,68,65,2.26,XK,1605236400
261,Hecun,36.5333,114.1111,60.13,36,0,8.21,CN,1605236400
262,San Matías,-16.3667,-58.4,77.36,67,45,4.43,BO,1605236400
263,Verkhoyansk,67.5447,133.385,-10.35,87,58,1.83,RU,1605236400
264,Port Hedland,-20.3167,118.5667,94.03,21,1,11.88,AU,1605236400
265,Le Port,-20.9373,55.2919,75.85,68,0,8.37,RE,1605236400
266,Pirgos,35.1167,25.7178,63.63,66,20,9.66,GR,1605236400
267,Myanaung,18.2833,95.3167,78.53,83,5,12.46,MM,1605236400
268,Sterling,39.0062,-77.4286,48.85,74,92,3.04,US,1605236400
269,Pitimbu,-7.4706,-34.8086,78.28,80,10,11.3,BR,1605236400
270,Warrnambool,-38.3833,142.4833,57.83,84,100,14.23,AU,1605236400
271,Tilichiki,60.4667,166.1,9.12,93,60,6.22,RU,1605236400
272,Korsholm,63.1142,21.6822,42.01,89,95,11.59,FI,1605236400
273,Isiro,2.7739,27.616,65.41,95,83,1.79,CD,1605236400
274,Port Shepstone,-30.7414,30.455,65.82,79,62,17.22,ZA,1605236400
275,Zhangye,38.9342,100.4517,48.63,54,12,3.6,CN,1605236400
276,Kargopol',61.5071,38.9456,33.82,97,99,4.43,RU,1605236400
277,Xuanzhou,30.9525,118.7553,66.04,69,0,11.9,CN,1605236400
278,Berlevåg,70.8578,29.0864,38.37,81,100,14.03,NO,1605236400
279,Ebreichsdorf,47.95,16.4,40.96,81,25,2.64,AT,1605236400
280,Agropoli,40.3469,14.9966,57.87,87,81,3.2,IT,1605236400
281,Mthatha,-31.5889,28.7844,58.12,94,37,3.15,ZA,1605236400
282,Talara,-4.5772,-81.2719,63.93,89,54,14.2,PE,1605236400
283,Luau,-10.7073,22.2247,63.45,96,61,2.1,AO,1605236400
284,Airai,-8.9266,125.4092,82.44,42,87,4.65,TL,1605236400
285,Mossamedes,-15.1961,12.1522,71.38,80,63,7.02,AO,1605236400
286,Conceição do Araguaia,-8.2578,-49.2647,77.11,81,29,1.52,BR,1605236400
287,Imst,47.2684,10.6698,28.15,95,5,3.69,AT,1605236400
288,Puertollano,38.6871,-4.1073,47.16,81,68,1.61,ES,1605236400
289,Batagay,67.6333,134.6333,-9.18,87,36,2.89,RU,1605236400
290,Härnösand,62.6323,17.9379,42.49,79,100,11.63,SE,1605236400
291,Pitrufquén,-38.9833,-72.65,51.93,89,49,0.92,CL,1605236400
292,Sol'-Iletsk,51.1631,54.9918,25.23,95,70,13.22,RU,1605236400
293,Tomatlán,19.9333,-105.25,75.92,84,5,1.99,MX,1605236400
294,Rena,61.1348,11.3641,37.36,89,100,4.7,NO,1605236400
295,Santa Lucía,27.9117,-15.5407,67.37,80,69,4.97,ES,1605236400
296,Iwanai,42.9744,140.5089,48.69,80,88,7.4,JP,1605236400
297,Nishihara,26.1842,127.7558,72.05,84,95,20.4,JP,1605236400
298,Lebu,-37.6167,-73.65,53.85,93,100,7.29,CL,1605236400
299,Muhafazat Lahij,13.1667,44.5833,68.34,87,24,1.45,YE,1605236400
300,Luján,-34.5703,-59.105,64.71,84,38,8.25,AR,1605236400
301,San Juan,-31.5375,-68.5364,83.88,35,62,14.88,AR,1605236400
302,Mapiripán,2.8892,-72.1256,77.0,84,100,0.72,CO,1605236400
303,Mwene-Ditu,-7.0,23.45,64.24,98,94,4.12,CD,1605236400
304,Bonavista,48.6499,-53.1147,42.6,74,76,10.56,CA,1605236400
305,Sur,22.5667,59.5289,73.85,61,0,4.23,OM,1605236400
306,Jaciara,-15.9653,-54.9683,71.6,90,70,1.03,BR,1605236400
307,Adiaké,5.2863,-3.304,78.1,87,10,3.15,CI,1605236400
308,Wote,-1.7808,37.6288,64.6,93,28,1.9,KE,1605236400
309,Boralday,43.3578,76.8594,32.79,97,95,3.91,KZ,1605236400
310,Jacareacanga,-6.2222,-57.7528,73.15,96,100,2.42,BR,1605236400
311,Santiago,-33.4569,-70.6483,62.49,64,45,3.49,CL,1605236400
312,Holme,56.1138,10.1725,44.49,97,43,5.7,DK,1605236400
313,Drexel Heights,32.1412,-111.0284,62.89,25,49,2.26,US,1605236400
314,Costa Rica,-23.4167,-54.65,71.28,84,25,3.4,BR,1605236400
315,Antipolo City,14.5864,121.1753,84.88,77,51,10.36,PH,1605236400
316,Mount Isa,-20.7333,139.5,100.33,29,0,10.13,AU,1605236400
317,Manacapuru,-3.2997,-60.6206,79.39,84,34,0.45,BR,1605236400
318,Road Town,18.4167,-64.6167,80.42,80,66,20.85,VG,1605236400
319,Manuk Mangkaw,4.8,119.85,83.66,72,76,5.39,PH,1605236400
320,Manggar,-2.8833,108.2667,85.77,73,100,4.45,ID,1605236400
321,Whitecourt,54.1502,-115.6855,25.12,74,75,2.82,CA,1605236400
322,Bollnäs,61.3482,16.3946,40.14,85,97,4.45,SE,1605236400
323,Bowen,-20.0167,148.2333,81.19,59,45,11.86,AU,1605236400
324,Kenai,60.5544,-151.2583,33.06,95,95,3.44,US,1605236400
325,Praia da Vitória,38.7333,-27.0667,60.6,85,29,5.55,PT,1605236400
326,Okhotsk,59.3833,143.3,14.0,88,92,8.16,RU,1605236400
327,Narsaq,60.9167,-46.05,22.93,73,97,4.5,GL,1605236400
328,Morgan City,29.6994,-91.2068,65.44,80,1,4.45,US,1605236400
329,Pangnirtung,66.1451,-65.7125,5.34,89,94,2.48,CA,1605236400
330,Saint-Pierre,-21.3393,55.4781,76.48,65,0,3.13,RE,1605236400
331,Afuá,-0.1567,-50.3867,78.31,87,28,6.55,BR,1605236400
332,Bridlington,54.0831,-0.1919,51.31,79,94,24.79,GB,1605236400
333,Ugoofaaru,5.6667,73.0,82.63,70,81,6.02,MV,1605236400
334,Killybegs,54.6333,-8.45,47.57,82,73,21.25,IE,1605236400
335,Dandong,40.1292,124.3947,52.7,50,0,10.49,CN,1605236400
336,Kloulklubed,7.0419,134.2556,84.52,76,42,8.68,PW,1605236400
337,Severo-Kuril'sk,50.6789,156.125,39.94,81,85,7.4,RU,1605236400
338,Kindu,-2.95,25.95,70.14,98,91,2.57,CD,1605236400
339,Port Macquarie,-31.4333,152.9167,79.16,67,95,20.29,AU,1605236400
340,Hamilton,39.1834,-84.5333,43.88,71,1,2.86,US,1605236400
341,Chicama,-7.8447,-79.1469,63.93,81,19,5.3,PE,1605236400
342,Banda Aceh,5.5577,95.3222,84.18,77,71,1.41,ID,1605236400
343,Fukuechō,32.6881,128.8419,65.8,67,20,18.19,JP,1605236400
344,Phuket,8.0,98.25,82.74,85,42,6.96,TH,1605236400
345,Susa,32.1942,48.2436,64.92,77,0,3.71,IR,1605236400
346,Poronaysk,49.2167,143.1167,44.98,92,100,13.8,RU,1605236400
347,Wajir,1.7471,40.0573,77.16,78,5,10.63,KE,1605236400
348,Fairbanks,64.8378,-147.7164,9.97,89,33,1.19,US,1605236400
349,Ambur,12.7833,78.7,76.48,88,96,5.82,IN,1605236400
350,Humaitá,-7.5061,-63.0208,78.39,79,90,2.62,BR,1605236400
351,Marsh Harbour,26.5412,-77.0636,79.38,81,98,13.58,BS,1605236400
352,Gamboula,4.1178,15.1393,68.52,84,44,2.06,CF,1605236400
353,Hofn,64.2539,-15.2082,43.83,81,63,8.97,IS,1605236400
354,Luganville,-15.5333,167.1667,82.56,76,87,5.79,VU,1605236400
355,Varhaug,58.6147,5.6457,50.04,91,85,26.49,NO,1605236400
356,Rāwah,34.4816,41.9093,61.34,39,0,7.65,IQ,1605236400
